ev,evGol,dep,depGol
DİYARBAKIRSPOR,2,ELAZIĞSPOR,0
TRABZONSPOR,3,GAZİANTEPSPOR,0
RIZESPOR,1,BURSASPOR,0
MALATYASPOR,1,GENÇLERBİRLİĞİ,1
DENİZLİSPOR,3,KONYASPOR,2
ANKARAGUCU,1,FENERBAHCE,4
GENÇLERBİRLİĞİ,1,ISTANBULSPOR,0
GAZİANTEPSPOR,3,ELAZIĞSPOR,1
A.SEBATSPOR,1,BESIKTAS,2
FENERBAHCE,2,DENİZLİSPOR,0
ADANASPOR A.Ş.,1,ANKARAGUCU,3
BURSASPOR,0,DİYARBAKIRSPOR,0
RIZESPOR,1,SAMSUNSPOR,2
KONYASPOR,3,MALATYASPOR,3
GALATASARAY,1,TRABZONSPOR,2
ELAZIĞSPOR,2,GALATASARAY,2
TRABZONSPOR,1,GENÇLERBİRLİĞİ,3
BESIKTAS,5,RIZESPOR,3
SAMSUNSPOR,0,BURSASPOR,0
ISTANBULSPOR,2,KONYASPOR,3
DENİZLİSPOR,1,ADANASPOR A.Ş.,1
ANKARAGUCU,1,A.SEBATSPOR,1
DİYARBAKIRSPOR,2,GAZİANTEPSPOR,1
MALATYASPOR,2,FENERBAHCE,2
DİYARBAKIRSPOR,0,GALATASARAY,0
DENİZLİSPOR,1,A.SEBATSPOR,2
MALATYASPOR,2,ADANASPOR A.Ş.,0
ANKARAGUCU,4,RIZESPOR,1
TRABZONSPOR,0,KONYASPOR,3
ELAZIĞSPOR,1,GENÇLERBİRLİĞİ,1
GAZİANTEPSPOR,3,BURSASPOR,2
ISTANBULSPOR,0,FENERBAHCE,1
BESIKTAS,0,SAMSUNSPOR,4
GALATASARAY,3,GAZİANTEPSPOR,0
RIZESPOR,1,DENİZLİSPOR,2
GENÇLERBİRLİĞİ,3,DİYARBAKIRSPOR,4
KONYASPOR,2,ELAZIĞSPOR,0
A.SEBATSPOR,2,MALATYASPOR,2
SAMSUNSPOR,3,ANKARAGUCU,2
ADANASPOR A.Ş.,1,ISTANBULSPOR,1
BURSASPOR,0,BESIKTAS,1
FENERBAHCE,3,TRABZONSPOR,1
ANKARAGUCU,1,BESIKTAS,1
MALATYASPOR,0,RIZESPOR,1
DENİZLİSPOR,1,SAMSUNSPOR,0
DİYARBAKIRSPOR,1,KONYASPOR,1
ELAZIĞSPOR,0,FENERBAHCE,1
GAZİANTEPSPOR,2,GENÇLERBİRLİĞİ,0
ISTANBULSPOR,1,A.SEBATSPOR,3
TRABZONSPOR,2,ADANASPOR A.Ş.,1
GALATASARAY,0,BURSASPOR,0
SAMSUNSPOR,1,MALATYASPOR,0
ADANASPOR A.Ş.,1,ELAZIĞSPOR,2
A.SEBATSPOR,0,TRABZONSPOR,0
KONYASPOR,0,GAZİANTEPSPOR,3
BESIKTAS,3,DENİZLİSPOR,1
BURSASPOR,1,ANKARAGUCU,0
GENÇLERBİRLİĞİ,2,GALATASARAY,2
FENERBAHCE,2,DİYARBAKIRSPOR,2
RIZESPOR,1,ISTANBULSPOR,0
GENÇLERBİRLİĞİ,2,BURSASPOR,0
MALATYASPOR,0,BESIKTAS,0
GALATASARAY,2,KONYASPOR,1
ISTANBULSPOR,0,SAMSUNSPOR,0
DENİZLİSPOR,0,ANKARAGUCU,1
DİYARBAKIRSPOR,3,ADANASPOR A.Ş.,1
TRABZONSPOR,1,RIZESPOR,0
GAZİANTEPSPOR,1,FENERBAHCE,5
ELAZIĞSPOR,3,A.SEBATSPOR,1
ANKARAGUCU,0,MALATYASPOR,0
BURSASPOR,0,DENİZLİSPOR,1
ADANASPOR A.Ş.,2,GAZİANTEPSPOR,3
RIZESPOR,5,ELAZIĞSPOR,4
KONYASPOR,4,GENÇLERBİRLİĞİ,1
A.SEBATSPOR,0,DİYARBAKIRSPOR,1
BESIKTAS,1,ISTANBULSPOR,2
SAMSUNSPOR,1,TRABZONSPOR,3
FENERBAHCE,2,GALATASARAY,1
ELAZIĞSPOR,1,SAMSUNSPOR,0
DİYARBAKIRSPOR,0,RIZESPOR,1
KONYASPOR,1,BURSASPOR,1
GENÇLERBİRLİĞİ,0,FENERBAHCE,1
MALATYASPOR,0,DENİZLİSPOR,1
GAZİANTEPSPOR,2,A.SEBATSPOR,2
ISTANBULSPOR,2,ANKARAGUCU,3
GALATASARAY,3,ADANASPOR A.Ş.,2
TRABZONSPOR,3,BESIKTAS,0
ANKARAGUCU,1,TRABZONSPOR,2
DENİZLİSPOR,2,ISTANBULSPOR,0
BURSASPOR,3,MALATYASPOR,2
A.SEBATSPOR,2,GALATASARAY,1
FENERBAHCE,5,KONYASPOR,2
RIZESPOR,1,GAZİANTEPSPOR,2
SAMSUNSPOR,3,DİYARBAKIRSPOR,1
