macNo,ev,evGol,dep,depGol
412,GENÇLERBİRLİĞİ,1,BESIKTAS,2
413,GALATASARAY,2,ANKARAGUCU,1
414,FENERBAHCE,4,RIZESPOR,1
415,ANKARAGUCU,2,GENÇLERBİRLİĞİ,3
416,MALATYASPOR,0,GAZIANTEPFK,0
417,DENİZLİSPOR,2,GALATASARAY,1
418,BESIKTAS,1,KONYASPOR,1
419,RIZESPOR,0,ADANASPOR A.Ş.,2
420,TRABZONSPOR,2,ELAZIĞSPOR,2
421,ISTANBULSPOR,1,DİYARBAKIRSPOR,3
422,BURSASPOR,1,A.SEBATSPOR,1
423,SAMSUNSPOR,3,FENERBAHCE,0
424,GALATASARAY,2,MALATYASPOR,2
425,A.SEBATSPOR,1,RIZESPOR,0
426,ELAZIĞSPOR,1,BURSASPOR,0
427,KONYASPOR,1,ANKARAGUCU,1
428,DİYARBAKIRSPOR,2,TRABZONSPOR,2
429,ADANASPOR A.Ş.,2,SAMSUNSPOR,3
430,GAZIANTEPFK,2,ISTANBULSPOR,1
431,GENÇLERBİRLİĞİ,1,DENİZLİSPOR,3
432,FENERBAHCE,2,BESIKTAS,2
433,BESIKTAS,2,ADANASPOR A.Ş.,1
434,SAMSUNSPOR,1,A.SEBATSPOR,1
435,ISTANBULSPOR,3,GALATASARAY,1
436,DİYARBAKIRSPOR,2,ELAZIĞSPOR,0
437,TRABZONSPOR,3,GAZIANTEPFK,0
438,RIZESPOR,1,BURSASPOR,0
439,MALATYASPOR,1,GENÇLERBİRLİĞİ,1
440,DENİZLİSPOR,3,KONYASPOR,2
441,ANKARAGUCU,1,FENERBAHCE,4
442,GENÇLERBİRLİĞİ,1,ISTANBULSPOR,0
443,GAZIANTEPFK,3,ELAZIĞSPOR,1
444,A.SEBATSPOR,1,BESIKTAS,2
445,FENERBAHCE,2,DENİZLİSPOR,0
446,ADANASPOR A.Ş.,1,ANKARAGUCU,3
447,BURSASPOR,0,DİYARBAKIRSPOR,0
448,RIZESPOR,1,SAMSUNSPOR,2
449,KONYASPOR,3,MALATYASPOR,3
450,GALATASARAY,1,TRABZONSPOR,2
451,ELAZIĞSPOR,2,GALATASARAY,2
452,TRABZONSPOR,1,GENÇLERBİRLİĞİ,3
453,BESIKTAS,5,RIZESPOR,3
454,SAMSUNSPOR,0,BURSASPOR,0
455,ISTANBULSPOR,2,KONYASPOR,3
456,DENİZLİSPOR,1,ADANASPOR A.Ş.,1
457,ANKARAGUCU,1,A.SEBATSPOR,1
458,DİYARBAKIRSPOR,2,GAZIANTEPFK,1
459,MALATYASPOR,2,FENERBAHCE,2
460,DİYARBAKIRSPOR,0,GALATASARAY,0
461,DENİZLİSPOR,1,A.SEBATSPOR,2
462,MALATYASPOR,2,ADANASPOR A.Ş.,0
463,ANKARAGUCU,4,RIZESPOR,1
464,TRABZONSPOR,0,KONYASPOR,3
465,ELAZIĞSPOR,1,GENÇLERBİRLİĞİ,1
466,GAZIANTEPFK,3,BURSASPOR,2
467,ISTANBULSPOR,0,FENERBAHCE,1
468,BESIKTAS,0,SAMSUNSPOR,4
469,GALATASARAY,3,GAZIANTEPFK,0
470,RIZESPOR,1,DENİZLİSPOR,2
471,GENÇLERBİRLİĞİ,3,DİYARBAKIRSPOR,4
472,KONYASPOR,2,ELAZIĞSPOR,0
473,A.SEBATSPOR,2,MALATYASPOR,2
474,SAMSUNSPOR,3,ANKARAGUCU,2
